,N_epochs,Train Loss,Valid BLEU
0,1,4.158588947043588,1.1336146723805067e-231
1,2,3.344396294341257,1.1803284709753404e-231
2,3,3.090949688033153,1.1857107144345355e-231
3,4,2.935951615039539,1.1773298393876642e-231
4,5,2.827805463975597,1.1492606635091834e-231
5,6,2.737798004753505,1.1907304416103816e-231
6,7,2.65927270419984,1.1718014114823318e-231
7,8,2.5912174165484463,1.1586770057502515e-231
8,9,2.5296133351420225,1.1355471339759703e-231
9,10,2.47346808740744,1.1265991478803103e-231
10,11,2.4210622843075176,1.1437768631129987e-231
11,12,2.3741060476529268,1.1511733813322105e-231
